transaction_id,account_id,transaction_date,transaction_type,amount,description
1,1904,2024-02-18,Withdrawal,56083.55,IMPS
2,1070,2025-03-29,Deposit,4171.29,POS
3,1580,2024-02-03,Deposit,55726.7,IMPS
4,593,2023-11-23,Deposit,86879.23,IMPS
5,908,2024-10-15,Deposit,66542.69,IMPS
6,1705,2024-11-16,Withdrawal,70382.22,NEFT
7,417,2025-05-28,Withdrawal,56409.13,NEFT
8,850,2023-05-12,Deposit,36388.03,IMPS
9,1103,2023-07-24,Withdrawal,62020.69,ATM
10,629,2023-04-03,Withdrawal,32035.92,Cash Deposit
11,1357,2024-05-13,Deposit,3629.59,UPI
12,1897,2025-02-15,Deposit,6735.17,Cash Deposit
13,689,2023-05-26,Withdrawal,74100.12,ATM
14,1510,2023-06-13,Deposit,83794.73,ATM
15,566,2025-02-04,Deposit,78145.73,IMPS
16,999,2025-06-08,Withdrawal,96056.56,IMPS
17,1681,2025-04-09,Deposit,40328.24,IMPS
18,1571,2024-01-02,Withdrawal,21746.07,IMPS
19,991,2024-02-18,Withdrawal,62813.92,ATM
20,1610,2024-02-12,Deposit,82887.71,IMPS
21,776,2023-11-24,Deposit,4191.86,ATM
22,1510,2025-01-12,Withdrawal,18728.78,Cash Deposit
23,1422,2025-06-06,Deposit,75528.65,IMPS
24,1805,2023-08-15,Withdrawal,78282.66,UPI
25,1445,2024-04-11,Deposit,53486.73,NEFT
26,1477,2023-06-02,Withdrawal,45999.17,Cash Deposit
27,743,2024-11-28,Withdrawal,41295.69,IMPS
28,331,2023-04-29,Withdrawal,33597.45,Cash Deposit
29,1643,2023-09-17,Deposit,43740.02,UPI
30,1473,2025-05-07,Withdrawal,92680.2,ATM
31,1196,2025-05-23,Withdrawal,36097.07,UPI
32,1140,2024-11-10,Deposit,5443.47,IMPS
33,1504,2023-11-30,Withdrawal,42637.54,IMPS
34,1689,2023-12-28,Deposit,95602.36,UPI
35,1665,2023-02-28,Withdrawal,63711.22,UPI
36,273,2024-02-15,Withdrawal,88118.23,IMPS
37,650,2023-08-22,Withdrawal,68005.55,IMPS
38,1230,2024-09-25,Deposit,49941.37,Cash Deposit
39,525,2023-08-18,Withdrawal,80488.4,NEFT
40,1711,2023-04-04,Withdrawal,8412.51,ATM
41,1676,2024-01-25,Withdrawal,67775.8,Cash Deposit
42,890,2023-05-15,Withdrawal,19933.55,IMPS
43,1811,2025-02-12,Deposit,67211.58,ATM
44,679,2023-05-15,Deposit,52175.16,IMPS
45,323,2024-10-08,Withdrawal,37804.98,NEFT
46,1643,2024-09-01,Withdrawal,72431.2,Cash Deposit
47,466,2023-08-13,Deposit,45445.47,IMPS
48,1963,2024-03-02,Withdrawal,64552.49,Online Transfer
49,482,2024-03-13,Withdrawal,8714.02,POS
50,1828,2024-04-07,Deposit,98663.46,NEFT
51,601,2024-02-14,Deposit,28247.85,IMPS
52,754,2023-05-26,Deposit,41497.64,NEFT
53,42,2024-04-30,Deposit,23639.85,UPI
54,18,2023-07-08,Withdrawal,50644.65,IMPS
55,223,2024-01-14,Withdrawal,79990.79,NEFT
56,1360,2024-05-12,Withdrawal,90276.33,UPI
57,516,2025-02-05,Withdrawal,14887.72,POS
58,1101,2024-01-23,Withdrawal,56059.36,UPI
59,1275,2025-05-26,Withdrawal,49053.09,POS
60,1800,2025-06-18,Deposit,41497.01,UPI
61,1589,2023-03-31,Deposit,13184.73,IMPS
62,1656,2024-06-07,Withdrawal,69911.26,POS
63,1049,2023-12-23,Deposit,92759.28,NEFT
64,1170,2024-03-24,Deposit,2918.66,Online Transfer
65,683,2023-01-31,Withdrawal,99156.36,IMPS
66,170,2023-03-12,Deposit,54323.4,UPI
67,848,2024-10-18,Deposit,17925.35,IMPS
68,1682,2024-06-01,Deposit,43682.05,POS
69,635,2024-04-16,Withdrawal,93820.62,NEFT
70,859,2024-03-24,Withdrawal,88042.03,Cash Deposit
71,406,2023-12-06,Withdrawal,71365.88,POS
72,1496,2023-08-23,Withdrawal,79750.59,POS
73,1893,2023-01-04,Deposit,41448.25,UPI
74,1442,2023-04-08,Deposit,80601.93,ATM
75,523,2023-10-27,Deposit,85634.74,POS
